ma_3,ma_7,month,day,amounts ( in ₹ )
116.66666666666667,102.14285714285714,6,24,245.0
168.33333333333334,118.0,6,23,15.0
168.33333333333334,116.57142857142857,6,23,194.0
151.33333333333334,134.28571428571428,6,22,25.0
78.0,118.42857142857143,6,22,220.0
146.33333333333334,137.0,6,22,216.0
153.66666666666666,165.71428571428572,6,21,232.3
222.76666666666665,163.9,6,21,499.0
315.76666666666665,200.18571428571428,6,21,1200.0
643.7666666666667,369.4714285714286,6,21,147.67
615.5566666666667,362.8528571428571,6,21,195.0
514.2233333333334,387.1385714285714,6,21,349.0
230.55666666666664,405.5671428571428,5,31,254.35
266.1166666666667,411.04571428571427,5,31,201.95
268.43333333333334,406.71,5,31,198.0
218.1,363.71,5,30,211.7
203.88333333333333,222.5242857142857,5,30,285.0
231.5666666666667,242.14285714285714,5,29,221.48
239.39333333333335,245.92571428571426,5,28,190.25
232.24333333333334,223.24714285714285,5,28,275.0
228.91,226.19714285714286,5,27,197.39
220.88,225.54571428571427,5,27,220.0
230.79666666666665,228.6885714285714,5,26,190.25
202.54666666666665,225.62428571428572,5,26,114.0
174.75,201.19571428571427,5,25,203.63
169.29333333333332,198.6457142857143,5,25,168.57
162.06666666666666,195.54857142857145,5,25,99.04
157.08,170.4114285714286,5,24,225.94
164.51666666666668,174.49,5,24,168.57
164.51666666666668,167.14285714285714,5,24,204.55
199.68666666666664,169.18571428571428,5,23,190.25
187.79,180.07857142857142,5,23,401.0
265.26666666666665,208.27428571428572,5,22,190.25
260.5,211.37142857142857,5,22,180.0
257.0833333333333,222.93714285714285,5,21,190.25
186.83333333333334,217.8385714285714,5,21,93.6
154.61666666666667,207.12857142857143,5,21,158.0
147.28333333333333,200.47857142857146,5,21,339.0
196.86666666666667,221.72857142857143,5,20,351.77
282.92333333333335,214.69571428571427,5,20,190.25
293.67333333333335,214.69571428571427,5,19,190.25
244.09,216.16,5,18,208.1
196.20000000000002,218.71,5,18,158.97
185.7733333333333,228.04857142857142,5,17,190.25
185.7733333333333,232.65571428571428,5,17,145.49
164.90333333333334,205.01142857142858,5,17,50.0
128.58,161.90142857142857,5,16,225.94
140.47666666666666,167.0,5,16,66.2
114.04666666666667,149.27857142857144,5,15,190.25
160.79666666666665,146.72857142857143,5,14,190.25
148.9,151.19714285714284,5,13,175.49
185.33,149.0885714285714,5,12,364.0
243.24666666666667,180.3042857142857,5,12,210.1
249.86333333333334,203.1757142857143,5,12,80.0
218.03333333333333,182.32714285714286,5,12,178.0
156.03333333333333,198.29857142857145,5,11,201.1
153.03333333333333,199.84857142857143,5,11,80.0
153.03333333333333,184.09857142857143,5,11,172.27
151.12333333333333,183.63857142857142,5,10,60.0
104.08999999999999,140.21,5,10,10.0
80.75666666666667,111.62428571428572,5,10,4.0
24.666666666666668,100.76714285714286,5,10,50.0
21.333333333333332,82.48142857142857,5,10,20.0
24.666666666666668,56.61,5,10,16.0
28.666666666666668,47.46714285714285,5,10,54.0
30.0,30.571428571428573,5,10,25.0
31.666666666666668,25.571428571428573,5,29,50.0
43.0,31.285714285714285,5,29,20.0
31.666666666666668,33.57142857142857,5,29,50.0
40.0,33.57142857142857,5,29,25.0
31.666666666666668,34.285714285714285,5,28,50.0
41.666666666666664,39.142857142857146,5,28,20.0
31.666666666666668,34.285714285714285,5,28,50.0
40.0,37.857142857142854,5,28,10.0
26.666666666666668,32.142857142857146,5,28,22.0
27.333333333333332,32.42857142857143,5,28,25.0
19.0,28.857142857142858,5,27,50.0
32.333333333333336,32.42857142857143,5,27,40.0
38.333333333333336,31.0,5,27,50.0
46.666666666666664,35.285714285714285,5,27,25.0
38.333333333333336,31.714285714285715,5,26,50.0
41.666666666666664,37.42857142857143,5,26,10.0
28.333333333333332,35.714285714285715,5,26,50.0
36.666666666666664,39.285714285714285,5,26,25.0
28.333333333333332,35.714285714285715,5,25,50.0
41.666666666666664,37.142857142857146,5,25,20.0
31.666666666666668,32.857142857142854,5,25,25.0
31.666666666666668,32.857142857142854,5,24,100.0
48.333333333333336,40.0,5,24,10.0
45.0,40.0,5,24,65.0
58.333333333333336,42.142857142857146,5,24,25.0
33.333333333333336,42.142857142857146,5,23,30.0
40.0,39.285714285714285,5,23,70.0
41.666666666666664,46.42857142857143,5,23,100.0
66.66666666666667,57.142857142857146,5,23,349.0
173.0,92.71428571428571,5,23,425.0
291.3333333333333,152.0,5,22,20.0
264.6666666666667,145.57142857142858,5,21,10.0
151.66666666666666,143.42857142857142,4,30,20.0
16.666666666666668,142.0,4,29,20.0
16.666666666666668,134.85714285714286,4,28,10.0
16.666666666666668,122.0,4,28,10.0
13.333333333333334,73.57142857142857,4,27,10.0
10.0,14.285714285714286,4,26,55.0
25.0,19.285714285714285,4,26,10.0
25.0,19.285714285714285,4,25,20.0
28.333333333333332,19.285714285714285,4,24,10.0
13.333333333333334,17.857142857142858,4,24,37.0
22.333333333333332,21.714285714285715,4,23,20.0
22.333333333333332,23.142857142857142,4,22,20.0
25.666666666666668,24.571428571428573,4,21,10.0
16.666666666666668,18.142857142857142,4,21,30.0
20.0,21.0,4,21,446.0
162.0,81.85714285714286,4,20,30.0
168.66666666666666,84.71428571428571,4,20,10.0
162.0,80.85714285714286,4,19,125.0
55.0,95.85714285714286,4,18,10.0
48.333333333333336,94.42857142857143,4,17,10.0
48.333333333333336,94.42857142857143,4,16,20.0
13.333333333333334,93.0,4,15,10.0
13.333333333333334,30.714285714285715,4,15,14.0
14.666666666666666,28.428571428571427,4,15,65.0
29.666666666666668,36.285714285714285,4,14,20.0
33.0,21.285714285714285,4,13,10.0
31.666666666666668,21.285714285714285,4,12,30.0
20.0,24.142857142857142,4,12,55.0
31.666666666666668,29.142857142857142,4,12,10.0
31.666666666666668,29.142857142857142,4,11,10.0
25.0,28.571428571428573,4,11,300.0
106.66666666666667,62.142857142857146,4,11,14.0
108.0,61.285714285714285,4,29,207.89
173.96333333333334,89.55571428571429,4,29,10.0
77.29666666666667,86.69857142857143,4,29,249.0
155.63,114.41285714285713,4,28,10.0
89.66666666666667,114.41285714285713,4,27,20.0
93.0,115.84142857142857,4,26,20.0
16.666666666666668,75.84142857142857,4,25,30.0
23.333333333333332,78.12714285714286,4,25,65.0
38.333333333333336,57.714285714285715,4,25,10.0
35.0,57.714285714285715,4,24,20.0
31.666666666666668,25.0,4,24,210.0
80.0,53.57142857142857,4,23,10.0
80.0,52.142857142857146,4,23,60.0
93.33333333333333,57.857142857142854,4,22,35.0
35.0,58.57142857142857,4,22,16.0
37.0,51.57142857142857,4,21,20.0
23.666666666666668,53.0,3,31,20.0
18.666666666666668,53.0,3,30,10.0
16.666666666666668,24.428571428571427,3,29,30.0
20.0,27.285714285714285,3,29,88.28
42.76,31.325714285714287,3,29,10.0
42.76,27.754285714285714,3,29,70.0
56.093333333333334,35.46857142857143,3,28,40.0
40.0,38.325714285714284,3,27,20.0
43.333333333333336,38.325714285714284,3,25,40.0
33.333333333333336,42.61142857142857,3,24,20.0
26.666666666666668,41.18285714285714,3,23,10.0
23.333333333333332,30.0,3,22,125.0
51.666666666666664,46.42857142857143,3,21,20.0
51.666666666666664,39.285714285714285,3,20,10.0
51.666666666666664,35.0,3,20,14.0
14.666666666666666,34.142857142857146,3,20,80.0
34.666666666666664,39.857142857142854,3,18,25.0
39.666666666666664,40.57142857142857,3,18,249.0
118.0,74.71428571428571,3,17,25.0
99.66666666666667,60.42857142857143,3,15,77.0
117.0,68.57142857142857,3,15,33.0
45.0,71.85714285714286,3,28,181.0
97.0,95.71428571428571,3,27,70.0
94.66666666666667,94.28571428571429,3,26,20.0
90.33333333333333,93.57142857142857,3,26,20.0
36.666666666666664,60.857142857142854,3,25,40.0
26.666666666666668,63.0,3,23,10.0
23.333333333333332,53.42857142857143,3,22,10.0
20.0,50.142857142857146,3,21,105.0
41.666666666666664,39.285714285714285,2,28,20.0
45.0,32.142857142857146,2,27,10.0
45.0,30.714285714285715,2,26,20.0
16.666666666666668,30.714285714285715,2,25,40.0
23.333333333333332,30.714285714285715,2,24,10.0
23.333333333333332,30.714285714285715,2,23,10.0
20.0,30.714285714285715,2,22,30.0
16.666666666666668,20.0,2,22,133.99
57.99666666666667,36.284285714285716,2,22,249.0
137.66333333333333,70.42714285714285,2,21,35.0
139.33,72.57000000000001,2,20,10.0
98.0,68.28428571428572,2,19,20.0
21.666666666666668,69.71285714285715,2,19,24.0
18.0,71.71285714285715,2,19,100.0
48.0,81.71285714285715,2,18,10.0
44.666666666666664,64.0,2,17,20.0
43.333333333333336,31.285714285714285,2,16,10.0
13.333333333333334,27.714285714285715,2,15,40.0
23.333333333333332,32.0,2,15,40.0
30.0,34.857142857142854,2,14,50.0
43.333333333333336,38.57142857142857,2,14,40.0
43.333333333333336,30.0,2,13,20.0
36.666666666666664,31.428571428571427,2,11,30.0
30.0,32.857142857142854,2,28,25.0
25.0,35.0,2,28,102.44
52.48,43.92,2,27,35.0
54.14666666666667,43.205714285714286,2,26,10.0
49.14666666666667,37.49142857142857,2,26,40.0
28.333333333333332,37.49142857142857,2,24,10.0
20.0,36.06285714285714,2,24,64.0
38.0,40.92,2,21,30.0
34.666666666666664,41.63428571428572,2,21,105.0
66.33333333333333,42.0,1,31,30.0
55.0,41.285714285714285,1,29,10.0
48.333333333333336,41.285714285714285,1,29,10.0
16.666666666666668,37.0,1,29,40.0
20.0,41.285714285714285,1,28,249.0
99.66666666666667,67.71428571428571,1,28,40.0
109.66666666666667,69.14285714285714,1,27,12.0
100.33333333333333,55.857142857142854,1,27,45.0
32.333333333333336,58.0,1,27,185.0
80.66666666666667,83.0,1,26,10.0
80.0,83.0,1,25,30.0
75.0,81.57142857142857,1,25,131.44
57.14666666666667,64.77714285714286,1,25,20.0
60.48,61.92,1,23,20.0
57.14666666666667,63.06285714285714,1,21,20.0
20.0,59.49142857142857,1,20,40.0
26.666666666666668,38.777142857142856,1,20,425.0
161.66666666666666,98.06285714285715,1,18,30.0
165.0,98.06285714285715,1,18,103.44
186.14666666666668,94.06285714285714,1,18,30.0
54.48,95.49142857142859,1,17,45.0
59.48,99.06285714285715,1,16,10.0
28.333333333333332,97.63428571428572,1,15,16.0
23.666666666666668,94.2057142857143,1,14,20.0
15.333333333333334,36.348571428571425,1,13,10.0
15.333333333333334,33.49142857142857,1,12,10.0
13.333333333333334,20.142857142857142,1,11,30.0
16.666666666666668,20.142857142857142,1,11,161.44
67.14666666666666,36.777142857142856,1,10,1241.11
477.51666666666665,212.65,1,10,10.0
470.84999999999997,211.79285714285714,1,29,10.0
420.36999999999995,210.3642857142857,1,28,20.0
13.333333333333334,211.79285714285714,1,28,325.0
118.33333333333333,256.79285714285714,1,27,10.0
118.33333333333333,253.93571428571428,1,27,100.0
145.0,245.1585714285714,1,26,20.0
43.333333333333336,70.71428571428571,1,26,12.0
44.0,71.0,1,26,25.0
19.0,73.14285714285714,1,25,10.0
15.666666666666666,71.71428571428571,1,24,40.0
25.0,31.0,1,24,249.0
99.66666666666667,65.14285714285714,12,29,121.0
136.66666666666666,68.14285714285714,12,14,361.0
243.66666666666666,116.85714285714286,12,26,299.0
260.3333333333333,157.85714285714286,11,27,361.0
340.3333333333333,205.85714285714286,11,26,20.0
226.66666666666666,207.28571428571428,11,25,47.0
142.66666666666666,208.28571428571428,11,24,10.0
25.666666666666668,174.14285714285714,11,23,85.0
47.333333333333336,169.0,11,23,30.0
41.666666666666664,121.71428571428571,11,23,10.0
41.666666666666664,80.42857142857143,11,22,20.0
20.0,31.714285714285715,11,21,20.0
16.666666666666668,31.714285714285715,11,19,10.0
16.666666666666668,26.428571428571427,11,18,20.0
16.666666666666668,27.857142857142858,11,18,30.0
20.0,20.0,11,17,10.0
20.0,17.142857142857142,11,16,130.26
56.75333333333333,34.32285714285714,11,15,10.0
50.086666666666666,32.894285714285715,11,14,10.0
50.086666666666666,31.465714285714284,11,14,249.0
89.66666666666667,65.60857142857142,11,13,20.0
93.0,65.60857142857142,11,13,30.0
99.66666666666667,65.60857142857142,11,12,10.0
20.0,65.60857142857142,11,11,10.0
16.666666666666668,48.42857142857143,11,10,20.0
13.333333333333334,49.857142857142854,11,29,30.0
20.0,52.714285714285715,11,29,152.51
67.50333333333333,38.93,11,28,20.0
67.50333333333333,38.93,11,28,40.0
70.83666666666666,40.35857142857143,11,27,20.0
26.666666666666668,41.787142857142854,11,25,60.0
40.0,48.93,11,25,35.0
38.333333333333336,51.07285714285714,11,24,35.0
43.333333333333336,51.787142857142854,11,24,35.0
35.0,35.0,11,24,35.0
35.0,37.142857142857146,11,24,25.0
31.666666666666668,35.0,11,23,10.0
23.333333333333332,33.57142857142857,11,22,30.0
21.666666666666668,29.285714285714285,11,22,137.26
59.086666666666666,43.894285714285715,11,22,10.0
59.086666666666666,40.32285714285714,10,31,15.0
54.086666666666666,37.465714285714284,10,31,175.94
66.98,57.6,10,30,10.0
66.98,55.457142857142856,10,30,35.0
73.64666666666666,59.028571428571425,10,29,10.0
18.333333333333332,56.17142857142857,10,28,10.0
18.333333333333332,37.99142857142857,10,27,10.0
10.0,37.99142857142857,10,26,30.0
16.666666666666668,40.13428571428572,10,26,122.26
54.086666666666666,32.465714285714284,10,26,10.0
54.086666666666666,32.465714285714284,10,25,35.0
55.75333333333333,32.465714285714284,10,24,10.0
18.333333333333332,32.465714285714284,10,23,10.0
18.333333333333332,32.465714285714284,10,22,10.0
10.0,32.465714285714284,10,22,70.0
30.0,38.18,10,21,249.0
109.66666666666667,56.285714285714285,10,21,40.0
119.66666666666667,60.57142857142857,10,18,77.0
122.0,66.57142857142857,10,13,181.0
99.33333333333333,91.0,10,29,161.0
139.66666666666666,112.57142857142857,10,29,25.0
122.33333333333333,114.71428571428571,10,29,35.0
73.66666666666667,109.71428571428571,10,28,20.0
26.666666666666668,77.0,10,27,40.0
31.666666666666668,77.0,10,27,35.0
31.666666666666668,71.0,10,26,35.0
36.666666666666664,50.142857142857146,10,25,30.0
33.333333333333336,31.428571428571427,10,25,136.08
67.02666666666667,47.297142857142866,10,25,10.0
58.693333333333335,43.72571428571429,10,24,20.0
55.36000000000001,43.72571428571429,10,23,20.0
16.666666666666668,40.868571428571435,10,22,70.0
36.666666666666664,45.868571428571435,10,22,20.0
36.666666666666664,43.72571428571429,10,21,10.0
33.333333333333336,40.868571428571435,8,31,60.0
30.0,30.0,8,31,20.0
30.0,31.428571428571427,8,30,29.0
36.333333333333336,32.714285714285715,8,30,10.0
19.666666666666668,31.285714285714285,8,30,40.0
26.333333333333332,27.0,8,30,80.0
43.333333333333336,35.57142857142857,8,30,249.0
123.0,69.71428571428571,8,29,10.0
113.0,62.57142857142857,8,28,60.0
106.33333333333333,68.28571428571429,8,28,90.0
53.333333333333336,77.0,8,27,10.0
53.333333333333336,77.0,8,26,16.0
38.666666666666664,73.57142857142857,8,25,10.0
12.0,63.57142857142857,8,24,75.0
33.666666666666664,38.714285714285715,8,24,10.0
31.666666666666668,38.714285714285715,8,23,55.0
46.666666666666664,38.0,8,22,25.0
30.0,28.714285714285715,8,21,20.0
33.333333333333336,30.142857142857142,8,21,100.0
48.333333333333336,42.142857142857146,8,20,25.0
48.333333333333336,44.285714285714285,8,19,10.0
